english,russian,v2,v3
be,быть,was/were,been
have,иметь,had,had
do,делать,did,done
say,говорить,said,said
go,идти,went,gone
get,получать,got,got
make,делать,made,made
know,знать,knew,known
think,думать,thought,thought
take,брать,took,taken
see,видеть,saw,seen
come,приходить,came,come
want,хотеть,,
look,смотреть,,
use,использовать,,
find,находить,found,found
give,давать,gave,given
tell,рассказывать,told,told
work,работать,,
call,звонить,,
feel,чувствовать,felt,felt
try,пробовать,,
ask,спрашивать,,
need,нуждаться,,
become,становиться,became,become
leave,уходить,left,left
put,класть,put,put
mean,означать,meant,meant
keep,держать,kept,kept
let,позволять,let,let
begin,начинать,began,begun
show,показывать,showed,shown
hear,слышать,heard,heard
play,играть,,
run,бежать,ran,run
move,двигаться,,
live,жить,,
believe,верить,,
hold,держать,held,held
bring,приносить,brought,brought
happen,происходить,,
write,писать,wrote,written
provide,предоставлять,,
sit,сидеть,sat,sat
stand,стоять,stood,stood
lose,терять,lost,lost
pay,платить,paid,paid
meet,встречать,met,met
include,включать,,
continue,продолжать,,
set,устанавливать,set,set
learn,учить,,
change,менять,,
lead,вести,led,led
understand,понимать,understood,understood
watch,наблюдать,,
follow,следовать,,
stop,останавливать,,
speak,говорить,spoke,spoken
read,читать,read,read
spend,тратить,spent,spent
grow,расти,grew,grown
open,открывать,,
walk,ходить,,
win,побеждать,won,won
offer,предлагать,,
remember,помнить,,
love,любить,,
consider,рассматривать,,
appear,появляться,,
buy,покупать,bought,bought
wait,ждать,,
serve,служить,,
die,умирать,,
send,отправлять,sent,sent
expect,ожидать,,
build,строить,built,built
stay,оставаться,,
fall,падать,fell,fallen
cut,резать,cut,cut
reach,достигать,,
kill,убивать,,
raise,поднимать,,
pass,проходить,,
sell,продавать,sold,sold
decide,решать,,
return,возвращать,,
explain,объяснять,,
hope,надеяться,,
develop,развивать,,
carry,нести,,
break,ломать,broke,broken
receive,получать,,
agree,соглашаться,,
support,поддерживать,,
hit,ударять,hit,hit
produce,производить,,
eat,есть,ate,eaten
cover,покрывать,,
catch,ловить,caught,caught
draw,рисовать,drew,drawn
choose,выбирать,chose,chosen
cause,вызывать,,
require,требовать,,
fight,бороться,fought,fought
drive,водить,drove,driven
represent,представлять,,
pull,тянуть,,
drink,пить,drank,drunk
sleep,спать,slept,slept
throw,бросать,threw,thrown
allow,позволять,,
add,добавлять,,
create,создавать,,
own,владеть,,
turn,поворачивать,,
apply,применять,,
manage,управлять,,
help,помогать,,
talk,разговаривать,,
start,начинать,,
seem,казаться,,
close,закрывать,,
differ,отличаться,,
fly,летать,flew,flown
laugh,смеяться,,
join,присоединяться,,
suggest,предлагать,,
answer,отвечать,,
forget,забывать,forgot,forgotten
teach,учить,taught,taught
recognize,узнавать,,
share,делиться,,
accept,принимать,,
face,сталкиваться,,
enjoy,наслаждаться,,
improve,улучшать,,
check,проверять,,
visit,посещать,,
prepare,готовить,,
sing,петь,sang,sung
swim,плавать,swam,swum
rise,подниматься,rose,risen
ride,ехать,rode,ridden
shake,трясти,shook,shaken
wake,просыпаться,woke,woken
steal,красть,stole,stolen
hide,прятать,hid,hidden
hang,вешать,hung,hung
lay,класть,laid,laid
lend,одалживать,lent,lent
hurt,причинять боль,hurt,hurt
fit,подходить,fit,fit
shut,закрывать,shut,shut
spread,распространять,spread,spread
beat,бить,beat,beaten
bite,кусать,bit,bitten
blow,дуть,blew,blown
feed,кормить,fed,fed
greet,приветствовать,,
avoid,избегать,,
achieve,достигать,,
admit,признавать,,
advise,советовать,,
announce,объявлять,,
argue,спорить,,
arrange,организовывать,,
attack,нападать,,
borrow,занимать,,
compare,сравнивать,,
complete,завершать,,
connect,соединять,,
contain,содержать,,
count,считать,,
discuss,обсуждать,,
discover,открывать,,
earn,зарабатывать,,
encourage,поощрять,,
enter,входить,,
establish,устанавливать,,
exist,существовать,,
fail,терпеть неудачу,,
finish,заканчивать,,
focus,сосредотачиваться,,
force,заставлять,,
form,формировать,,
gain,получать,,
gather,собирать,,
handle,обращаться,,
imagine,воображать,,
increase,увеличивать,,
inform,информировать,,
introduce,представлять,,
invest,инвестировать,,
mention,упоминать,,
miss,скучать,,
obtain,получать,,
occur,происходить,,
perform,выполнять,,
plan,планировать,,
practice,практиковать,,
prevent,предотвращать,,
protect,защищать,,
prove,доказывать,,
push,толкать,,
realize,осознавать,,
reduce,уменьшать,,
refuse,отказывать,,
relate,относиться,,
release,освобождать,,
remain,оставаться,,
replace,заменять,,
report,сообщать,,
respond,отвечать,,
save,сохранять,,
solve,решать,,
succeed,добиваться успеха,,
suffer,страдать,,
test,тестировать,,
treat,относиться,,
trust,доверять,,
